,地址,区域,小区,租凭方式,租金,楼层,面积,户型,朝向,发布日期,具体日期,介绍,看房记录（最新成交日期）,看房记录（最新成交价格）,距离地铁站距离,入住,租期,看房,电梯,车位,用水,用电,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,经度,纬度,链接,信息采集时间
14,徐汇,康健,钦州路111弄,整租,4800,高楼层/7层,39㎡,1室1厅1卫,朝南,17天前,2019-07-14,,2019-07-29,7200元/月,693m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.432016,31.162203,https://sh.lianjia.com/zufang/SH2300531602130223104.html,2019-07-31 19:48:55
15,黄浦,新天地,马当小区,整租,9800,中楼层/27层,62㎡,2室1厅1卫,朝南,13天前,2019-07-18,,2019-07-29,7100元/月,334m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.475962,31.213349,https://sh.lianjia.com/zufang/SH2303498281835036672.html,2019-07-31 19:48:56
16,徐汇,徐家汇,番禺大楼,整租,6500,高楼层/18层,67㎡,1室2厅1卫,朝南,13天前,2019-07-18,,2019-06-17,6000元/月,928m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.427938,31.195893,https://sh.lianjia.com/zufang/SH2303544012508250112.html,2019-07-31 19:48:57
17,黄浦,老西门,老西门新苑,整租,12800,高楼层/35层,84㎡,1室2厅1卫,朝南,14天前,2019-07-17,,2019-07-23,13000元/月,212m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.483165,31.216054,https://sh.lianjia.com/zufang/SH2302611834089783296.html,2019-07-31 19:48:58
18,徐汇,斜土路,大木桥路450弄,整租,5200,高楼层/6层,35㎡,1室0厅1卫,朝东,3天前,2019-07-28,,2019-07-07,5100元/月,162m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.461870,31.198230,https://sh.lianjia.com/zufang/SH2310876302108278784.html,2019-07-31 19:48:59
19,黄浦,黄浦滨江,滨江名人苑,整租,13500,中楼层/31层,115㎡,2室2厅1卫,朝南,3天前,2019-07-28,,2019-07-19,13000元/月,812m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.471651,31.193934,https://sh.lianjia.com/zufang/SH2310830808119910400.html,2019-07-31 19:49:00
20,闵行,莘庄,西环三村,整租,3200,低楼层/6层,48㎡,1室1厅1卫,朝南,5天前,2019-07-26,,2019-04-23,3000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.365287,31.105179,https://sh.lianjia.com/zufang/SH2308818649194446848.html,2019-07-31 19:49:01
21,徐汇,徐家汇,乐山一村,整租,7400,中楼层/24层,69㎡,2室1厅1卫,朝西,2天前,2019-07-29,"【房源亮点】 品质租赁就选链家轻托管，无需服务费，24小时维修在线，起租即保洁！
【装修描述】 房源户型：南北通透，全明户型 
室内配置：全装全配（热水器、空调、冰箱、洗衣机、电视机......）
【交通出行】  您可以乘坐轨道交通虹桥路站3410号线，以及，宜山路349号线
【周边配套】 公交：公交：93, 138, 171, 752, 830, 931等；医院：中山医院、龙华医院、中海社区卫生站，伽马医院。

【小区介绍】 小区环境：小区内有大量绿化，还配有健身场所和设施；不仅美 化环境还有利于身心健康！
",2019-07-29,7000元/月,633m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.428807,31.197827,https://sh.lianjia.com/zufang/SH2298568636979757056.html,2019-07-31 19:49:01
22,徐汇,徐家汇,乐山大楼,整租,7700,高楼层/24层,64㎡,2室1厅1卫,朝南,1天前,2019-07-29,,2019-04-07,6000元/月,380m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.433237,31.195971,https://sh.lianjia.com/zufang/SH2311649398662643712.html,2019-07-31 19:49:03
23,徐汇,徐家汇,虹桥路400弄,整租,8990,低楼层/18层,89㎡,2室2厅1卫,朝南 西南,1个月前,2019-06-21,,2019-07-23,9000元/月,495m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.430024,31.192273,https://sh.lianjia.com/zufang/SH2298573293604839424.html,2019-07-31 19:49:04
24,徐汇,田林,金丽广场,整租,7900,低楼层/24层,82㎡,3室1厅1卫,朝南,1个月前,2019-06-26,,2019-07-06,7250元/月,464m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,无,有,有,有,有,无,无,有,无,121.419960,31.176995,https://sh.lianjia.com/zufang/SH2298573491274268672.html,2019-07-31 19:49:05
25,浦东,三林,思浦小区,整租,5800,中楼层/6层,48㎡,2室1厅1卫,朝南,10天前,2019-07-21,,2019-07-15,4600元/月,21m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.493553,31.159346,https://sh.lianjia.com/zufang/SH2305752363451301888.html,2019-07-31 19:49:06
26,浦东,金杨,金樟花苑,整租,5600,高楼层/6层,78㎡,2室1厅1卫,朝南,23天前,2019-07-08,,2019-07-03,5000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,无,有,有,有,无,无,有,无,121.564903,31.258676,https://sh.lianjia.com/zufang/SH2298574239496159232.html,2019-07-31 19:49:07
27,浦东,世博,恒大小区,整租,4800,高楼层/6层,39㎡,1室1厅1卫,朝南,10天前,2019-07-21,,2019-07-17,4700元/月,97m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.610583,31.205027,https://sh.lianjia.com/zufang/SH2305760310080323584.html,2019-07-31 19:49:08
28,浦东,三林,品翠苑,整租,5500,高楼层/6层,76㎡,2室2厅1卫,朝南,1年前,1970-01-02,"【户型介绍】 两房朝南带飘窗，楼层适中，主卧、次卧、客厅全朝南、采光良好，不靠马路，十分安静。居住十分舒适。
【装修描述】 精装修，装修风格好，主卧贴的墙纸，全屋品牌家电：三菱空调、西门子洗衣机、老板牌厨灶油烟机、三星电视。
【周边配套】 旁边有三林印象城、金谊广场，菜市场，吃饭、购物、交通都十分便利。
",2019-07-22,3500元/月,,暂无数据,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.521948,31.137435,https://sh.lianjia.com/zufang/SH2303436907834777600.html,2019-07-31 19:49:09
29,浦东,世博,上钢八九村,整租,4500,中楼层/6层,38㎡,1室1厅1卫,朝南,6天前,2019-07-25,"【房源亮点】 小区生活方便，三楼楼层好，采光充足，出行方便，价格适中，适合一个人住或者情侣或者朋友。
【装修描述】 业主婚房，之前一直自住，之前家具家电使用维护很好，因孩子上学去了新房住。
【交通出行】 距离长清路地铁口200米，7号线和13号线出行方便，公交站点多。
",2019-07-27,3400元/月,6m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,无,有,有,有,有,无,无,有,无,121.485027,31.173729,https://sh.lianjia.com/zufang/SH2308435013974097920.html,2019-07-31 19:49:10
30,徐汇,徐家汇,申峰大厦,整租,7688,中楼层/26层,65㎡,1室2厅1卫,朝南,1个月前,2019-06-19,,2019-06-11,7800元/月,243m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,无,有,有,有,有,无,无,有,无,121.441907,31.187169,https://sh.lianjia.com/zufang/SH2298573236461371392.html,2019-07-31 19:49:12
31,徐汇,田林,明园小安桥,整租,10800,中楼层/17层,87㎡,2室2厅1卫,朝南,2天前,2019-07-28,,2019-07-22,14200元/月,468m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,无,有,有,有,有,无,无,有,无,121.422789,31.184980,https://sh.lianjia.com/zufang/SH2310938979354017792.html,2019-07-31 19:49:13
32,徐汇,康健,花苑茶花园,整租,4500,中楼层/6层,33㎡,1室1厅1卫,朝南,1天前,2019-07-29,,2019-07-28,6400元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.414317,31.151184,https://sh.lianjia.com/zufang/SH2311635846958694400.html,2019-07-31 19:49:14
33,黄浦,新天地,健乐小区,整租,6500,未知/7层,33㎡,2室0厅1卫,朝南,13天前,2019-07-18,,2019-07-17,4800元/月,370m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.499682,31.215727,https://sh.lianjia.com/zufang/SH2300433515688771584.html,2019-07-31 19:49:15
34,浦东,世博,德州大楼,整租,6800,高楼层/25层,70㎡,2室1厅1卫,朝南,7天前,2019-07-24,,2019-03-12,4600元/月,651m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,,,https://sh.lianjia.com/zufang/SH2307943855757983744.html,2019-07-31 19:49:16
35,黄浦,新天地,淡水路442弄,整租,7800,中楼层/6层,46㎡,2室1厅1卫,朝南,3天前,2019-07-28,,2019-07-21,7000元/月,566m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.478381,31.220622,https://sh.lianjia.com/zufang/SH2310669801573318656.html,2019-07-31 19:49:18
36,闵行,梅陇,罗阳二村,整租,4800,中楼层/6层,86㎡,2室2厅1卫,朝南,2天前,2019-07-29,,2019-07-15,5000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,无,有,有,有,无,无,有,无,121.411985,31.120541,https://sh.lianjia.com/zufang/SH2310972426537934848.html,2019-07-31 19:49:19
37,徐汇,徐家汇,永新花苑,整租,14500,中楼层/34层,110㎡,2室2厅2卫,朝南,2天前,2019-07-29,"【装修描述】  此房精装修，一线品牌家具、家电，全配，居家温馨，可拎包入住.

【交通出行】 178路公交停靠站台，地铁1.9.11号线徐家汇站，交通便利
【周边配套】  徐家汇商圈 .旁边就是汇金广场、六百等大型商场，天钥桥路步行街,美罗城，汇金广场，购物方便
",2019-07-25,14000元/月,551m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.443027,31.193228,https://sh.lianjia.com/zufang/SH2298567973617025024.html,2019-07-31 19:49:20
38,徐汇,徐家汇,虹桥乐庭,整租,12600,低楼层/10层,94㎡,2室2厅1卫,朝南,11天前,2019-07-20,"【户型介绍】 1、正规户型房型方正，日照充足。
2、室内居家装修，房屋保养得好，房东人也很热情好相处，随时入住。
3、主力楼层，老人，小孩出门都方便，小区内健身器材，游玩空地配套。
4、舒适入住：主卧室朝南带阳台，厨房、卫生间全明、中间有个小厅，安逸舒适
【装修描述】 房源介绍：
1、产证面积：135 平米，3房2厅2卫
3、房屋结构：客厅朝南，餐厅朝北，南北通透，主卧朝南，一次卧朝北，一次卧朝南，全明户型
【交通出行】 1、地铁3/4/9/10号轨交，步行约700m，出行方便，四通八达。
2、自驾上内环高架8min，交通便捷！
4、公交站步行600m即达(26路;44;72;138;754;827;836;855等)西区汽车站步行700m
【出租原因】 业主上海本地人，年纪比较大，没有多余时间打理房屋，看房有钥匙。
【周边配套】 1、开车去星游城8min，美罗城10min，体育馆10min，百脑汇15min等，一应俱全。 
3、中山医院（内脏，肝癌 肺部相关主打科室），上海市伽马刀医院（主打科室：神经内外科，五官科），均为三甲医院
",2019-07-13,12000元/月,524m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.426137,31.193721,https://sh.lianjia.com/zufang/SH2298568832534986752.html,2019-07-31 19:49:21
39,闵行,莘庄,万科假日风景(公寓),整租,5800,高楼层/6层,90㎡,2室1厅1卫,朝南,26天前,2019-07-04,,2019-07-30,4400元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.402681,31.104769,https://sh.lianjia.com/zufang/SH2298574070054666240.html,2019-07-31 19:49:21
40,徐汇,徐家汇,永新城,整租,12988,高楼层/9层,66㎡,1室2厅1卫,朝南,2个月前,2019-05-27,,2019-07-27,12000元/月,567m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,无,有,无,无,有,无,121.443867,31.192602,https://sh.lianjia.com/zufang/SH2298572371227328512.html,2019-07-31 19:49:22
41,闵行,梅陇,罗阳一村,整租,5500,高楼层/6层,80㎡,3室1厅1卫,朝南,1个月前,2019-06-29,,2019-07-14,3400元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.409928,31.123273,https://sh.lianjia.com/zufang/SH2298505061120352256.html,2019-07-31 19:49:23
42,松江,九亭,五洲云景花苑,整租,3700,中楼层/11层,55㎡,1室1厅1卫,朝南,25天前,2019-07-05,,2019-07-27,5000元/月,,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.312388,31.149829,https://sh.lianjia.com/zufang/SH2298318981679030272.html,2019-07-31 19:49:24
43,闵行,春申,银兆公寓,整租,4200,高楼层/6层,70㎡,2室1厅1卫,朝南,14天前,2019-07-17,,2019-01-21,3200元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.439481,31.106700,https://sh.lianjia.com/zufang/SH2302647663688433664.html,2019-07-31 19:49:25
44,闵行,梅陇,罗阳七村(三洲花园),整租,4999,高楼层/6层,85㎡,2室1厅1卫,朝南,11天前,2019-07-20,"【户型介绍】 采光充足，视野开阔，每天早晨给你美好的开始
房型双南两房，两室两厅，空间充足，居家优选。

【装修描述】 居家两房，户型方正，双房朝南，家具齐全，干净整洁，居家好房。
【交通出行】 小区门口距1号线外环路地铁站500米。门口有957/735公交直达徐家汇和七宝。
小区生活气息浓郁，居家、工作的良选；
【周边配套】 出门就是小吃街，生活便利。人味十足。小区生活气息浓郁，看房也方便，随时可看。
",2019-07-22,4300元/月,490m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.398258,31.123887,https://sh.lianjia.com/zufang/SH2304840781011091456.html,2019-07-31 19:49:27
45,浦东,三林,尚东国际名园（二期）,整租,9500,低楼层/8层,99㎡,2室2厅1卫,朝南 北,11天前,2019-07-20,,2019-07-01,12000元/月,,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,无,有,有,无,无,无,无,121.511832,31.161826,https://sh.lianjia.com/zufang/SH2304342481741029376.html,2019-07-31 19:49:27
46,闵行,春申,普乐二村,整租,4999,低楼层/6层,76㎡,3室0厅0卫,朝南,23天前,2019-07-08,"【户型介绍】 三室一厅一厨一卫，户型方正，带一个大天井，居家方便。合租也可以。
【装修描述】 空调都是新换的，家具齐全，干净整洁，居家好房，看房方便，有钥匙。
【交通出行】 小区门口有多个公交，可通莲花南路和上海体育馆，上海南站，漕宝路 725路，735路，闵行3路，闵行22路
",2019-05-06,3000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,无,无,有,无,有,无,无,有,无,121.423572,31.114762,https://sh.lianjia.com/zufang/SH2298574241861206016.html,2019-07-31 19:49:28
47,闵行,春申,高兴花园,整租,4500,高楼层/6层,67㎡,2室1厅1卫,朝南,1个月前,2019-06-30,,2019-07-30,2950元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.407978,31.113621,https://sh.lianjia.com/zufang/SH2298573780026662912.html,2019-07-31 19:49:29
48,徐汇,田林,田林新苑,整租,5500,高楼层/18层,42㎡,1室1厅1卫,朝南,2天前,2019-07-29,,2019-07-11,5600元/月,826m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.426934,31.173843,https://sh.lianjia.com/zufang/SH2298567780074520576.html,2019-07-31 19:49:30
49,徐汇,徐家汇,乐山六七村,整租,5200,中楼层/7层,38㎡,1室1厅1卫,朝东南,1天前,2019-07-29,,2019-07-27,3850元/月,733m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.430379,31.195676,https://sh.lianjia.com/zufang/SH2311658161712668672.html,2019-07-31 19:49:31
50,徐汇,田林,吴中公寓,整租,6800,中楼层/22层,62㎡,1室1厅1卫,朝南,2天前,2019-07-29,,2019-03-21,6000元/月,728m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.421128,31.188202,https://sh.lianjia.com/zufang/SH2311565116967501824.html,2019-07-31 19:49:32
51,徐汇,康健,长虹坊,整租,6300,中楼层/6层,68㎡,2室1厅1卫,朝南,4天前,2019-07-26,,2019-07-02,6000元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.419417,31.166917,https://sh.lianjia.com/zufang/SH2309489540593106944.html,2019-07-31 19:49:33
52,徐汇,田林,田林十四村,整租,4800,高楼层/6层,37㎡,1室1厅1卫,朝南,27天前,2019-07-04,,2019-07-20,6500元/月,397m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.423490,31.175573,https://sh.lianjia.com/zufang/SH2298574048889667584.html,2019-07-31 19:49:34
53,徐汇,康健,花苑村紫竹园,整租,5800,高楼层/6层,57㎡,2室1厅1卫,朝南,1个月前,2019-06-24,,2019-07-22,3400元/月,,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.419417,31.166917,https://sh.lianjia.com/zufang/SH2298573471007121408.html,2019-07-31 19:49:35
54,徐汇,斜土路,西木小区,整租,5000,中楼层/4层,32㎡,1室0厅1卫,朝南,2天前,2019-07-28,,2019-07-28,6200元/月,295m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.458633,31.194348,https://sh.lianjia.com/zufang/SH2309893136111386624.html,2019-07-31 19:49:36
55,徐汇,徐家汇,宛平南路268弄,整租,6700,中楼层/6层,48㎡,2室0厅1卫,朝南,3天前,2019-07-28,,2019-07-03,5500元/月,995m,随时入住,暂无数据,随时可看,无,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.445840,31.192719,https://sh.lianjia.com/zufang/SH2310888427697995776.html,2019-07-31 19:49:37
56,徐汇,徐家汇,肇嘉浜路853弄,整租,6300,中楼层/5层,40㎡,1室1厅1卫,朝南,2天前,2019-07-28,,2019-07-24,4300元/月,347m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,无,无,有,有,有,有,有,无,无,有,无,121.447437,31.197464,https://sh.lianjia.com/zufang/SH2310924367514566656.html,2019-07-31 19:49:38
57,松江,九亭,绿庭尚城,整租,6200,中楼层/18层,89㎡,3室2厅1卫,朝南 北,3天前,2019-07-27,,2019-07-28,5800元/月,,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.312613,31.146769,https://sh.lianjia.com/zufang/SH2310172773051539456.html,2019-07-31 19:49:39
58,松江,九亭,新虹桥首府(公寓),整租,6300,高楼层/19层,90㎡,2室2厅1卫,朝东,13天前,2019-07-17,,2019-07-28,6500元/月,,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.305053,31.150091,https://sh.lianjia.com/zufang/SH2302918965254422528.html,2019-07-31 19:49:40
59,松江,九亭,青春驿站,整租,5650,未知/15层,68㎡,2室2厅2卫,朝南,13天前,2019-07-18,,2019-07-28,4000元/月,729m,随时入住,暂无数据,随时可看,有,暂无数据,民水,民电,有,无,有,有,有,有,有,无,无,有,无,121.317383,31.135061,https://sh.lianjia.com/zufang/SH2303431107951476736.html,2019-07-31 19:49:41
